1.html , Spring 2004 Women's Tennis Schedule,  Oct 18 (Sat) 09:00 AM, Patriot League Championship, Bethlehem Pa., Lehigh wins three titles,
1.html , Spring 2004 Women's Tennis Schedule,  Oct 25 (Sat), ITA Division I East Regional Championships, Blacksburg VA, Complete results,
78.html , Spring 2004 Softball Schedule,  Apr 17 (Sat) 12:00 PM, Holy Cross, Worcester MA, W, 5-3 11 innings,
78.html , Spring 2004 Softball Schedule,  Apr 17 (Sat) 02:00 PM, Holy Cross, Worcester MA, W, 6-1,
78.html , Spring 2004 Softball Schedule,  Apr 18 (Sun) 12:00 PM, Holy Cross, Worcester MA, W, 6-1,
78.html , Spring 2004 Softball Schedule,  Apr 18 (Sun) 02:00 PM, Holy Cross, Worcester MA, W, 12-2 F/5,
78.html , Spring 2004 Softball Schedule,  Apr 21 (Wed) 03:00 PM, Rider, Lawrenceville N.J., L, 1-3,
78.html , Spring 2004 Softball Schedule,  Apr 21 (Wed) 05:00 PM, Rider, Lawrenceville NJ, L, 0-1 F/8,
78.html , Spring 2004 Softball Schedule,  Apr 24 (Sat) 02:00 PM, Colgate, Kaufman Field, W, 6-0,
78.html , Spring 2004 Softball Schedule,  Apr 24 (Sat) 04:00 PM, Colgate, Kaufman Field, W, 3-2,
78.html , Spring 2004 Softball Schedule,  Apr 25 (Sun) 12:00 PM, Colgate, Kaufman Field, Cancelled,
78.html , Spring 2004 Softball Schedule,  Apr 25 (Sun) 02:00 PM, Colgate, Kaufman Field, Cancelled,
78.html , Spring 2004 Softball Schedule,  Apr 28 (Wed) 03:00 PM, St. Josephs, Kaufman Field, W, 9-1,
78.html , Spring 2004 Softball Schedule,  Apr 28 (Wed) 05:00 PM, St. Josephs, Kaufman Field, L, 4-6,
78.html , Spring 2004 Softball Schedule,  May 1 (Sat) 09:00 AM, Bucknell, Kaufman Field, W, 5-0,
78.html , Spring 2004 Softball Schedule,  May 1 (Sat) 03:00 PM, Army, Kaufman Field, W, 1-0,
78.html , Spring 2004 Softball Schedule,  May 2 (Sun) 09:00 AM, Army, Kaufman Field, W, 3-1 11 innings,
78.html , Spring 2004 Softball Schedule,  May 20 (Thu) 01:30 PM, No. 2 Nebraska, Lincoln NE, L, 0-6,
78.html , Spring 2004 Softball Schedule,  May 20 (Thu) 09:00 PM, No. 3 Florida Atlantic, Lincoln NE, L, 0-3,
79.html , All 2004-2005 Rowing Schedule,  Sep 26 (Sun) 09:00 AM, Head Of Passaic, Passaic River Rutherford NJ, Complete Results,
79.html , All 2004-2005 Rowing Schedule,  Oct 3 (Sun) 10:00 AM, Marrietta/Drexel Regatta, Atlantic City N.J., Na, Na
79.html , All 2004-2005 Rowing Schedule,  Oct 10 (Sun) 09:00 AM, Bucknell Fall Regatta, Susquehanna River, Na,1 and 4 of 4,
79.html , All 2004-2005 Rowing Schedule,  Oct 16 (Sat) 12:00 PM, Navy Day Regatta, Schuylkill River Philadelphia Pa., Na, Na
79.html , All 2004-2005 Rowing Schedule,  Oct 23 (Sat) 09:00 AM, Head of the Charles Regatta, Charles River Boston MA, Na, Na
79.html , All 2004-2005 Rowing Schedule,  Oct 30 (Sat) 09:00 AM, Head of Schuylkill, Schuylkill River Philadelphia PA, Na, Na
79.html , All 2004-2005 Rowing Schedule,  Nov 6 (Sat), Rutgers, Raritan RiverNew Brunswick N.J., Na, Na
79.html , All 2004-2005 Rowing Schedule,  Nov 13 (Sat) 09:00 AM, Frostbite Regatta, Schuylkill River Philadelphia PA, Na, Na
79.html , All 2004-2005 Rowing Schedule,  Mar 5 (Sat) 09:00 AM, Franklin & Marshall, Lehigh River Allentown PA, Na, Na
79.html , All 2004-2005 Rowing Schedule,  Mar 6 (Sun) 09:00 AM, Occoquan Regatta, Occoquan VA, Na, Na
79.html , All 2004-2005 Rowing Schedule,  Mar 12 (Sat) 09:00 AM, Delaware La Salle St. Joseph's, Philadelphia Pa., Na, Na
79.html , All 2004-2005 Rowing Schedule,  Mar 13 (Sun) 09:00 AM, Susquehanna, Lehigh River Allentown PA, Na, Na
79.html , All 2004-2005 Rowing Schedule,  Mar 19 (Sat) 09:00 AM, Villanova, Philadelphia Pa., Na, Na
79.html , All 2004-2005 Rowing Schedule,  Mar 26 (Sat) 09:00 AM, Murphy Cup, Schuylkill River Philadelphia PA, Na,12 of 12,
79.html , All 2004-2005 Rowing Schedule,  Apr 2 (Sat) 12:00 PM, Lafayette Penn State, Allentown Pa., Complete recap and results,
79.html , All 2004-2005 Rowing Schedule,  Apr 9 (Sat) 12:00 PM, Husky Invite, Seattle Wash., Complete Results,
79.html , All 2004-2005 Rowing Schedule,  Apr 16 (Sat) 09:00 AM, Knecht Cup, Cooper River Camden NJ, Na, Na
79.html , All 2004-2005 Rowing Schedule,  Apr 24 (Sun) 09:00 AM, Patriot League Regatta, Worcester Lake Quinsigmon MA, Na,5 of 5,
79.html , All 2004-2005 Rowing Schedule,  Apr 30 (Sat) 04:30 PM, Bucknell, Shamokin Dam Pa., Na, Na
79.html , All 2004-2005 Rowing Schedule,  May 7 (Sat) 09:00 AM, Drexel, Philadelphia Pa., Na, Na
79.html , All 2004-2005 Rowing Schedule,  May 13 (Fri) 09:00 AM, Dad Vail Championship, Philadelphia Pa., Complete Results,
80.html , Winter 2008-2009 Swimming and Diving Schedule,  Oct 18 (Sat) 05:00 PM, Providence, Providence R.I., Men: Won 155-80Women: Won 151-72,
80.html , Winter 2008-2009 Swimming and Diving Schedule,  Oct 19 (Sun) 12:00 PM, Holy Cross, Worcester Mass., Men: Won 183-60Women: Won 172-69,
80.html , Winter 2008-2009 Swimming and Diving Schedule,  Oct 25 (Sat) 10:30 AM, West Chester, Jacobs Pool, Men: Lost 149-145Women: Lost 161-124,
80.html , Winter 2008-2009 Swimming and Diving Schedule,  Nov 1 (Sat) 01:00 PM, Colgate, Hamilton N.Y., Men: Won 162-136Women: Lost 209-79,
80.html , Winter 2008-2009 Swimming and Diving Schedule,  Nov 8 (Sat) 10:00 AM, Rider, Lawrenceville N.J., Men: Lost 169-107Women: Lost 175-147,
80.html , Winter 2008-2009 Swimming and Diving Schedule,  Nov 9 (Sun) 10:30 AM, NJIT, Jacobs Pool, Men: Won 121-62Women: Won 126-25,
80.html , Winter 2008-2009 Swimming and Diving Schedule,  Nov 21 (Fri) 06:00 PM, Lafayette, Easton Pa., Men: Won 207-93Women: Won 158-140,
80.html , Winter 2008-2009 Swimming and Diving Schedule,  Dec 7 (Sun) 10:00 AM, St. Peter's, Jersey City N.J., Men: Won 153-88Women: Won 170-48,
80.html , Winter 2008-2009 Swimming and Diving Schedule,  Jan 10 (Sat) 01:00 PM, Marist, Poughkeepsie N.Y., Postponed,
80.html , Winter 2008-2009 Swimming and Diving Schedule,  Jan 13 (Tue) 07:00 PM, Marist, Poughkeepsie N.Y., Men: Lost 130-113Women: Lost 137-99,
80.html , Winter 2008-2009 Swimming and Diving Schedule,  Jan 18 (Sun) 10:30 AM, Army, Jacobs Pool, Men: Lost 175.5-124.5Women: Won 181-117,
80.html , Winter 2008-2009 Swimming and Diving Schedule,  Jan 24 (Sat) 01:00 PM, Bucknell, Lewisburg Pa., Men: Lost 178.5-119.5Women: Lost 198-95,
80.html , Winter 2008-2009 Swimming and Diving Schedule,  Feb 19 (Thu) 10:30 AM, Patriot League Championships, Lewisburg Pa., Men: 5th, 76 pts.Women: 6th, 75 pts.,
80.html , Winter 2008-2009 Swimming and Diving Schedule,  Feb 20 (Fri) 10:30 AM, Patriot League Championships, Lewisburg Pa., Men: 4th, 250 pts.Women: 6th, 178.5,
80.html , Winter 2008-2009 Swimming and Diving Schedule,  Feb 21 (Sat) 10:30 AM, Patriot League Championships, Lewisburg Pa., Men: 4th, 357.5 pts.Women: 6th, 262.5 pts.,
82.html , Winter 2009-2010 Men's Basketball Schedule,  Nov 13 (Fri) 07:00 PM, Richmond, Richmond Va., L, 53-65,
82.html , Winter 2009-2010 Men's Basketball Schedule,  Nov 16 (Mon) 07:00 PM, Rider, Lawrenceville N.J., L, 71-86,
82.html , Winter 2009-2010 Men's Basketball Schedule,  Nov 18 (Wed) 07:30 PM, Quinnipiac, Stabler Arena, W, 79-71,
82.html , Winter 2009-2010 Men's Basketball Schedule,  Nov 23 (Mon) 07:00 PM, Monmouth, Stabler Arena, W, 86-74,
82.html , Winter 2009-2010 Men's Basketball Schedule,  Nov 25 (Wed) 07:00 PM, St. Francis (Pa.), Loretto Pa., W, 76-67,
82.html , Winter 2009-2010 Men's Basketball Schedule,  Nov 30 (Mon) 07:00 PM, Stony Brook, Stabler Arena, L, 52-71,
82.html , Winter 2009-2010 Men's Basketball Schedule,  Dec 3 (Thu) 07:00 PM, Columbia, New York N.Y., L, 70-75,
82.html , Winter 2009-2010 Men's Basketball Schedule,  Dec 5 (Sat) 02:00 PM, Dayton, Dayton Ohio, L, 71-89,
82.html , Winter 2009-2010 Men's Basketball Schedule,  Dec 17 (Thu) 07:00 PM, Lehigh University, Stabler Arena, W, 66-58,
82.html , Winter 2009-2010 Men's Basketball Schedule,  Dec 20 (Sun) 07:00 PM, Saint Joseph's, Philadelphia Pa., L, 66-77,
82.html , Winter 2009-2010 Men's Basketball Schedule,  Dec 22 (Tue) 07:00 PM, Marist, Stabler Arena, W, 66-55,
82.html , Winter 2009-2010 Men's Basketball Schedule,  Dec 28 (Mon) 07:00 PM, Longwood, Farmville Va., W, 89-78,
82.html , Winter 2009-2010 Men's Basketball Schedule,  Dec 30 (Wed) 07:30 PM, Delaware State, Dover Del., W, 73-66 OT,
82.html , Winter 2009-2010 Men's Basketball Schedule,  Jan 2 (Sat) 07:30 PM, NJIT, Stabler Arena, W, 86-79,
82.html , Winter 2009-2010 Men's Basketball Schedule,  Jan 5 (Tue) 07:00 PM, Yale, Stabler Arena, W, 75-69,
82.html , Winter 2009-2010 Men's Basketball Schedule,  Jan 9 (Sat) 7:05:00 PM, American, Stabler Arena, W, 78-67,
82.html , Winter 2009-2010 Men's Basketball Schedule,  Jan 14 (Thu) 7:05:00 PM, Navy, Annapolis Md., L, 83-94,
82.html , Winter 2009-2010 Men's Basketball Schedule,  Jan 17 (Sun) 2:00:00 PM, Army, West Point N.Y., W, 73-55,
82.html , Winter 2009-2010 Men's Basketball Schedule,  Jan 20 (Wed) 7:05:00 PM, Colgate, Stabler Arena, W, 74-60,
82.html , Winter 2009-2010 Men's Basketball Schedule,  Jan 23 (Sat) 7:05:00 PM, Lafayette, Stabler Arena, W, 75-57,
82.html , Winter 2009-2010 Men's Basketball Schedule,  Jan 27 (Wed) 7:00:00 PM, Bucknell, Lewisburg Pa., L, 76-81 OT,
82.html , Winter 2009-2010 Men's Basketball Schedule,  Jan 31 (Sun) 12:05:00 PM, Holy Cross, Worcester Mass., W, 78-60,
82.html , Winter 2009-2010 Men's Basketball Schedule,  Feb 6 (Sat) 2:00:00 PM, American, Washington D.C., W, 77-65,
82.html , Winter 2009-2010 Men's Basketball Schedule,  Feb 10 (Wed) 7:05:00 PM, Navy, Stabler Arena, L, 78-85,
82.html , Winter 2009-2010 Men's Basketball Schedule,  Feb 13 (Sat) 7:05:00 PM, Army, Stabler Arena, W, 78-66,
82.html , Winter 2009-2010 Men's Basketball Schedule,  Feb 17 (Wed) 7:00:00 PM, Colgate, Hamilton N.Y., W, 91-81,
82.html , Winter 2009-2010 Men's Basketball Schedule,  Feb 20 (Sat) 2:05:00 PM, Lafayette, Easton Pa., L, 75-90,
82.html , Winter 2009-2010 Men's Basketball Schedule,  Feb 24 (Wed) 7:05:00 PM, Bucknell, Stabler Arena, W, 81-59,
82.html , Winter 2009-2010 Men's Basketball Schedule,  Feb 27 (Sat) 7:35:00 PM, Holy Cross, Stabler Arena, W, 91-80,
82.html , Winter 2009-2010 Men's Basketball Schedule,  Mar 3 (Wed) 7:05:00 PM, Army, Stabler Arena, W, 64-45,
82.html , Winter 2009-2010 Men's Basketball Schedule,  Mar 7 (Sun) 8:05:00 PM, American, Stabler Arena, W, 79-57,
82.html , Winter 2009-2010 Men's Basketball Schedule,  Mar 12 (Fri) 4:45:00 PM, Lafayette, Stabler Arena, W, 74-59,
82.html , Winter 2009-2010 Men's Basketball Schedule,  Mar 18 (Thu) 09:40 PM, No. 1 Kansas, Oklahoma City Okla., L, 74-90,
83.html , Winter 2003-2004 Men's Basketball Schedule,  Nov 8 (Sat) 07:30 PM, Team Nike, Stabler Arena, L, 80-84,
83.html , Winter 2003-2004 Men's Basketball Schedule,  Nov 21 (Fri) 07:30 PM, Long Island, Stabler Arena, L, 54-67,
83.html , Winter 2003-2004 Men's Basketball Schedule,  Nov 25 (Tue) 07:00 PM, Stony Brook, Stabler Arena, W, 64-49,
83.html , Winter 2003-2004 Men's Basketball Schedule,  Nov 29 (Sat) 02:00 PM, Sacred Heart, Fairfield Conn., L, 56-58,
83.html , Winter 2003-2004 Men's Basketball Schedule,  Dec 1 (Mon) 07:00 PM, No. 3 UConn, Hartford Conn., L, 55-75,
83.html , Winter 2003-2004 Men's Basketball Schedule,  Dec 3 (Wed) 07:00 PM, Swarthmore, Stabler Arena, W, 82-58,
83.html , Winter 2003-2004 Men's Basketball Schedule,  Dec 6 (Sat) 07:30 PM, Harvard, Stabler Arena, W, 88-79,
83.html , Winter 2003-2004 Men's Basketball Schedule,  Dec 8 (Mon) 07:00 PM, Columbia, New York N.Y., W, 60-57,
83.html , Winter 2003-2004 Men's Basketball Schedule,  Dec 17 (Wed) 07:00 PM, Delaware Valley, Stabler Arena, W, 99-61,
83.html , Winter 2003-2004 Men's Basketball Schedule,  Dec 20 (Sat) 02:00 PM, Dartmouth, Hanover N.H., W, 60-57,
83.html , Winter 2003-2004 Men's Basketball Schedule,  Dec 22 (Mon) 07:00 PM, Albany, Albany N.Y., L, 55-63 OT,
83.html , Winter 2003-2004 Men's Basketball Schedule,  Dec 30 (Tue) 08:00 PM, No. 22 Vanderbilt, Nashville Tenn., L, 59-85,
83.html , Winter 2003-2004 Men's Basketball Schedule,  Jan 2 (Fri) 07:00 PM, Wagner, Stabler Arena, W, 64-59,
83.html , Winter 2003-2004 Men's Basketball Schedule,  Jan 6 (Tue) 08:00 PM, Cornell, Ithaca N.Y., L, 76-89,
83.html , Winter 2003-2004 Men's Basketball Schedule,  Jan 10 (Sat) 07:30 PM, Navy, Stabler Arena, W, 80-61,
83.html , Winter 2003-2004 Men's Basketball Schedule,  Jan 14 (Wed) 07:30 PM, Bucknell, Stabler Arena, W, 75-70,
83.html , Winter 2003-2004 Men's Basketball Schedule,  Jan 17 (Sat) 01:00 PM, American, Washington D.C., W, 63-58 OT,
83.html , Winter 2003-2004 Men's Basketball Schedule,  Jan 23 (Fri) 08:00 PM, Lafayette, Easton PA, L, 104-111 OT,
83.html , Winter 2003-2004 Men's Basketball Schedule,  Jan 25 (Sun) 03:15 PM, Army, West Point N.Y., W, 60-45,
83.html , Winter 2003-2004 Men's Basketball Schedule,  Jan 30 (Fri) 07:30 PM, Holy Cross, Stabler Arena, W, 63-53,
83.html , Winter 2003-2004 Men's Basketball Schedule,  Feb 1 (Sun) 02:45 PM, Colgate, Stabler Arena, W, 61-56,
83.html , Winter 2003-2004 Men's Basketball Schedule,  Feb 7 (Sat) 03:30 PM, Navy, Annapolis Md., W, 66-38,
83.html , Winter 2003-2004 Men's Basketball Schedule,  Feb 10 (Tue) 07:00 PM, Bucknell, Lewisburg PA, L, 63-64,
83.html , Winter 2003-2004 Men's Basketball Schedule,  Feb 13 (Fri) 08:00 PM, American, Stabler Arena, W, 86-65,
83.html , Winter 2003-2004 Men's Basketball Schedule,  Feb 20 (Fri) 07:30 PM, Army, Stabler Arena, W, 68-63,
83.html , Winter 2003-2004 Men's Basketball Schedule,  Feb 22 (Sun) 03:15 PM, Lafayette, Stabler Arena, W, 78-73,
83.html , Winter 2003-2004 Men's Basketball Schedule,  Feb 27 (Fri) 08:00 PM, Colgate, Hamilton N.Y., L, 48-54,
83.html , Winter 2003-2004 Men's Basketball Schedule,  Feb 29 (Sun) 03:15 PM, Holy Cross, Worcester MA, L, 57-72,
83.html , Winter 2003-2004 Men's Basketball Schedule,  Mar 6 (Sat) 12:00 PM, No. 8 Navy, Upper Marlboro Md., W, 62-60 OT,
83.html , Winter 2003-2004 Men's Basketball Schedule,  Mar 7 (Sun) 05:00 PM, No. 4 Bucknell, Upper Marlboro Md., W, 60-45,
83.html , Winter 2003-2004 Men's Basketball Schedule,  Mar 14 (Sun) 12:00 PM, No. 2 American, Stabler Arena, W, 59-57,
83.html , Winter 2003-2004 Men's Basketball Schedule,  Mar 16 (Tue) 07:00 PM, Florida A&M;, Dayton OH, L, 57-72,
84.html , Spring 2010 Softball Schedule,  Feb 26 (Fri) 02:00 PM, George Washington, Charlottesville Va., Cancelled,
84.html , Spring 2010 Softball Schedule,  Feb 27 (Sat) 09:00 AM, Ohio, Charlottesville Va., Cancelled,
84.html , Spring 2010 Softball Schedule,  Feb 27 (Sat) 11:00 AM, Longwood, Farmville Va., W, 8-6,
84.html , Spring 2010 Softball Schedule,  Feb 27 (Sat) 11:30 AM, Virginia, Charlottesville Va., Cancelled,
84.html , Spring 2010 Softball Schedule,  Feb 27 (Sat) 01:00 PM, Ohio, Farmville Va., L, 1-10 6 innings,
84.html , Spring 2010 Softball Schedule,  Feb 28 (Sun) 11:00 AM, Ohio, Farmville Va., W, 2-1,
84.html , Spring 2010 Softball Schedule,  Feb 28 (Sun) 11:30 AM, Notre Dame, Charlottesville Va., Cancelled,
84.html , Spring 2010 Softball Schedule,  Feb 28 (Sun) 01:00 PM, Longwood, Farmville Va., L, 2-14 5 innings,
84.html , Spring 2010 Softball Schedule,  Mar 7 (Sun) 03:00 PM, Butler, Kissimmee Fla., L, 3-7,
84.html , Spring 2010 Softball Schedule,  Mar 7 (Sun) 11:00:00 AM, South Dakota, Kissimmee Fla., W, 6-3,
84.html , Spring 2010 Softball Schedule,  Mar 8 (Mon) 09:00 AM, Sacred Heart, Kissimmee Fla., W, 4-3,
84.html , Spring 2010 Softball Schedule,  Mar 8 (Mon) 11:00 AM, Bryant, Kissimmee Fla., W, 5-2,
84.html , Spring 2010 Softball Schedule,  Mar 9 (Tue) 09:00 AM, Indiana State, Kissimmee Fla., L, 0-4,
84.html , Spring 2010 Softball Schedule,  Mar 9 (Tue) 11:00 AM, Fairfield, Kissimmee Fla., W, 4-2,
84.html , Spring 2010 Softball Schedule,  Mar 11 (Thu) 01:00 PM, Butler, Kissimmee Fla., Cancelled,
84.html , Spring 2010 Softball Schedule,  Mar 11 (Thu) 05:00 PM, Detroit, Kissimmee Fla., Cancelled,
84.html , Spring 2010 Softball Schedule,  Mar 12 (Fri) 05:00 PM, Columbia, Kissimmee Fla., Cancelled,
84.html , Spring 2010 Softball Schedule,  Mar 12 (Fri) 06:30 PM, Wagner, Kissimmee Fla., Cancelled,
84.html , Spring 2010 Softball Schedule,  Mar 19 (Fri) 04:25 PM, Delaware, Baltimore Md., L, 2-11 5 innings,
84.html , Spring 2010 Softball Schedule,  Mar 19 (Fri) 2:30:00 PM, Mount St. Mary's, Baltimore Md., W, 11-8,
84.html , Spring 2010 Softball Schedule,  Mar 20 (Sat) 08:45 AM, Niagara, Baltimore Md., L, 3-7,
84.html , Spring 2010 Softball Schedule,  Mar 21 (Sun) 08:45 AM, Delaware, Baltimore Md., L, 6-7,
84.html , Spring 2010 Softball Schedule,  Mar 21 (Sun) 10:40 AM, Georgetown, Baltimore Md., Cancelled,
84.html , Spring 2010 Softball Schedule,  Mar 24 (Wed) 03:00 PM, Penn, Kaufman Field, W, 2-0,
84.html , Spring 2010 Softball Schedule,  Mar 24 (Wed) 05:00 PM, Penn, Kaufman Field, W, 10-7,
84.html , Spring 2010 Softball Schedule,  Mar 27 (Sat) 12:00 PM, Niagara, Kaufman Field, W, 8-0 5 innings,
84.html , Spring 2010 Softball Schedule,  Mar 27 (Sat) 02:00 PM, Niagara, Kaufman Field, W, 8-5,
84.html , Spring 2010 Softball Schedule,  Mar 28 (Sun) 11:00 AM, Niagara, Kaufman Field, L, 3-6,
84.html , Spring 2010 Softball Schedule,  Mar 28 (Sun) 01:00 PM, Niagara, Kaufman Field, W, 11-6,
84.html , Spring 2010 Softball Schedule,  Mar 31 (Wed) 03:00 PM, Princeton, Kaufman Field, W, 8-5,
84.html , Spring 2010 Softball Schedule,  Mar 31 (Wed) 05:00 PM, Princeton, Kaufman Field, W, 4-3,
84.html , Spring 2010 Softball Schedule,  Apr 3 (Sat) 12:00 PM, Colgate, Kaufman Field, W, 1-0,
84.html , Spring 2010 Softball Schedule,  Apr 3 (Sat) 02:00 PM, Colgate, Kaufman Field, W, 10-9,
84.html , Spring 2010 Softball Schedule,  Apr 4 (Sun) 12:00 PM, Colgate, Kaufman Field, W, 5-4,
84.html , Spring 2010 Softball Schedule,  Apr 4 (Sun) 02:10 PM, Colgate, Kaufman Field, L, 1-2,
84.html , Spring 2010 Softball Schedule,  Apr 6 (Tue) 03:00 PM, Rider, Lawrenceville N.J., W, 8-6 8 innings,
84.html , Spring 2010 Softball Schedule,  Apr 6 (Tue) 05:00 PM, Rider, Lawrenceville N.J., W, 13-6 5 innings,
84.html , Spring 2010 Softball Schedule,  Apr 10 (Sat) 01:00 PM, Army, West Point N.Y., W, 10-3,
84.html , Spring 2010 Softball Schedule,  Apr 10 (Sat) 03:00 PM, Army, West Point N.Y., L, 0-1,
84.html , Spring 2010 Softball Schedule,  Apr 11 (Sun) 01:00 PM, Army, West Point N.Y., L, 2-8,
84.html , Spring 2010 Softball Schedule,  Apr 11 (Sun) 03:00 PM, Army, West Point N.Y., W, 8-0 5 innings,
84.html , Spring 2010 Softball Schedule,  Apr 13 (Tue) 03:00 PM, Monmouth, West Long Branch N.J., L, 4-10,
84.html , Spring 2010 Softball Schedule,  Apr 13 (Tue) 05:00 PM, Monmouth, West Long Branch N.J., L, 4-5 9 innings,
84.html , Spring 2010 Softball Schedule,  Apr 17 (Sat) 12:00 PM, Lafayette, Easton Pa., L, 1-3,
84.html , Spring 2010 Softball Schedule,  Apr 17 (Sat) 02:00 PM, Lafayette, Easton Pa., W, 7-0,
84.html , Spring 2010 Softball Schedule,  Apr 18 (Sun) 12:00 PM, Lafayette, Easton Pa., W, 5-2,
84.html , Spring 2010 Softball Schedule,  Apr 18 (Sun) 02:00 PM, Lafayette, Easton Pa., W, 12-1 5 innings,
84.html , Spring 2010 Softball Schedule,  Apr 21 (Wed) 03:00 PM, Delaware, Kaufman Field, L, 7-9,
84.html , Spring 2010 Softball Schedule,  Apr 21 (Wed) 05:20 PM, Delaware, Kaufman Field, W, 2-1,
84.html , Spring 2010 Softball Schedule,  Apr 24 (Sat) 01:00 PM, Bucknell, Kaufman Field, W, 9-1 6 innings,
84.html , Spring 2010 Softball Schedule,  Apr 24 (Sat) 03:35 PM, Bucknell, Kaufman Field, L, 1-5,
84.html , Spring 2010 Softball Schedule,  Apr 25 (Sun) 12:00 PM, Bucknell, Kaufman Field, Postponed,
84.html , Spring 2010 Softball Schedule,  Apr 25 (Sun) 02:00 PM, Bucknell, Kaufman Field, Postponed,
84.html , Spring 2010 Softball Schedule,  Apr 28 (Wed) 03:00 PM, Villanova, Philadelphia, Cancelled,
84.html , Spring 2010 Softball Schedule,  Apr 28 (Wed) 03:00 PM, Bucknell, Kaufman Field, W, 10-8,
84.html , Spring 2010 Softball Schedule,  Apr 28 (Wed) 05:00 PM, Villanova, Philadelphia Pa., Cancelled,
84.html , Spring 2010 Softball Schedule,  Apr 28 (Wed) 05:15 PM, Bucknell, Kaufman Field, W, 4-2,
84.html , Spring 2010 Softball Schedule,  May 1 (Sat) 12:00 PM, Holy Cross, Worcester Mass., L, 2-3,
84.html , Spring 2010 Softball Schedule,  May 1 (Sat) 02:00 PM, Holy Cross, Worcester Mass., W, 7-3,
84.html , Spring 2010 Softball Schedule,  May 2 (Sun) 12:00 PM, Holy Cross, Worcester Mass., W, 5-2,
84.html , Spring 2010 Softball Schedule,  May 2 (Sun) 02:00 PM, Holy Cross, Worcester Mass., W, 5-0,
84.html , Spring 2010 Softball Schedule,  May 13 (Thu) 02:00 PM, Bucknell, West Point N.Y., L, 3-4,
84.html , Spring 2010 Softball Schedule,  May 14 (Fri) 02:30 PM, Army, West Point N.Y., L, 1-4,
85.html , Winter 2006-2007 Swimming and Diving Schedule,  Oct 14 (Sat) 10:00 AM, Lafayette Relays, Easton Pa., meet recap,
85.html , Winter 2006-2007 Swimming and Diving Schedule,  Oct 20 (Fri) 05:00 PM, Brown and White Meet, Jacobs Pool, Na, Na
85.html , Winter 2006-2007 Swimming and Diving Schedule,  Oct 28 (Sat) 11:00 AM, West Chester, Jacobs Pool, Men: Lost 133.5-107.5Women: Lost 151-102,
85.html , Winter 2006-2007 Swimming and Diving Schedule,  Nov 4 (Sat) 12:00 PM, Colgate and Navy, Annapolis Md., Men: Lehigh 193 Colgate 98Women:Colgate 200 Lehigh 99Navy 209 Lehigh 86,
85.html , Winter 2006-2007 Swimming and Diving Schedule,  Nov 11 (Sat) 10:30 AM, Rider and Penn, Lawrenceville N.J., Men:Lehigh 133 Rider 104Penn 138 Lehigh 94Women: Rider 136 Lehigh 106Penn 160.5 Lehigh 79.5,
85.html , Winter 2006-2007 Swimming and Diving Schedule,  Nov 17 (Fri) 06:00 PM, Lafayette, Easton Pa., Men: W 186-100Women: L 165-129,
85.html , Winter 2006-2007 Swimming and Diving Schedule,  Jan 3 (Wed) 12:45 PM, NJIT, Jacobs Pool, Cancelled,
85.html , Winter 2006-2007 Swimming and Diving Schedule,  Jan 6 (Sat) 12:00 PM, U. of California-Irvine Sprint Invite, Irvine California, Men: 5th of 7Women: 9th of 12,
85.html , Winter 2006-2007 Swimming and Diving Schedule,  Jan 20 (Sat) 11:00 AM, Army, Jacobs Pool, Men: lost 195.5-109.5Women: won 150-148,
85.html , Winter 2006-2007 Swimming and Diving Schedule,  Jan 27 (Sat) 02:00 PM, Bucknell, Lewisburg Pa., Men: won 154-146Women: lost 209-91,
85.html , Winter 2006-2007 Swimming and Diving Schedule,  Feb 3 (Sat) 12:00 PM, La Salle, Philadelphia Pa., Men: Lost 155-145Women: Lost 153-147,
85.html , Winter 2006-2007 Swimming and Diving Schedule,  Feb 15 (Thu) 10:30 AM, Patriot League Championships, Lewisburg Pa., Postponed,
85.html , Winter 2006-2007 Swimming and Diving Schedule,  Feb 16 (Fri) 10:30 AM, Patriot League Championships, Lewisburg Pa., Men: 3rd, 137 pts.Women: 7th, 82 pts.,
85.html , Winter 2006-2007 Swimming and Diving Schedule,  Feb 17 (Sat) 10:30 AM, Patriot League Championships, Lewisburg Pa., Men: 4th, 282 pts.Women: 5th, 232,
